artist_preprocessed,total_days_on_playlist,unique_songs,avg_song_longevity,t_z,s_z,l_z,dominance_score
$uicideboy$,5,1,5.0,-0.4057196047338949,-0.3004305375935436,-0.6308431724751162,-0.45219886162819106
*NSYNC,16,1,16.0,-0.3577260516646779,-0.3004305375935436,-0.38373755793063047,-0.3540704007302368
21 Savage,199,13,15.307692307692308,0.4407121493959319,1.276497939554305,-0.3992896595453184,0.35586876474523144
4batz,53,1,53.0,-0.19629319134094808,-0.3004305375935436,0.44743587280991237,-0.02400194134620906
4batz & Drake,13,1,13.0,-0.3708152025017371,-0.3004305375935436,-0.4511299982609448,-0.3808327082478607
Addison Rae,29,1,29.0,-0.3010063980374215,-0.3004305375935436,-0.09170364983260193,-0.23810040148720005
Alan Jackson,2,1,2.0,-0.4188087555709541,-0.3004305375935436,-0.6982356128054305,-0.4789611691458149
Andrew Gold,3,2,1.5,-0.41444570529193436,-0.1690198311645562,-0.7094676861938162,-0.4538671247370233
André 3000,1,1,1.0,-0.4231718058499738,-0.3004305375935436,-0.7206997595822019,-0.48788193831835625
Andy Williams,46,2,23.0,-0.22683454329408614,-0.1690198311645562,-0.22648853049323048,-0.21516779702792344
Arctic Monkeys,17,1,17.0,-0.3533630013856582,-0.3004305375935436,-0.3612734111538591,-0.3451496315576955
Ariana Grande,311,15,20.733333333333334,0.9293737806461412,1.53931935241228,-0.27740726318724573,0.689328581849353
Artemas,106,2,53.0,0.0349484734470974,-0.1690198311645562,0.44743587280991237,0.11790103233361116
BTS,1,1,1.0,-0.4231718058499738,-0.3004305375935436,-0.7206997595822019,-0.48788193831835625
Bad Bunny,289,22,13.136363636363637,0.8333866745077072,2.4591942974151917,-0.44806670551865774,0.7741121850812946
Bailey Zimmerman,67,1,67.0,-0.1352104874346719,-0.3004305375935436,0.7619339276847124,0.10088882706936902
Band Aid,4,1,4.0,-0.41008265501291463,-0.3004305375935436,-0.6533073192518877,-0.46111963080073237
Benson Boone,506,3,168.66666666666666,1.780168585054988,-0.0376091247355688,3.045788849989807,1.7962991225773224
Beyoncé,193,25,7.72,0.41453384772181356,2.853426416702154,-0.5697406932422979,0.6070299992286483
Beyoncé & Kendrick Lamar,10,1,10.0,-0.3839043533387963,-0.3004305375935436,-0.518522438591259,-0.40759501576548457
BigXthaPlug,58,1,58.0,-0.17447793994584945,-0.3004305375935436,0.5597566066937695,0.020601904516497377
Bill Withers,1,1,1.0,-0.4231718058499738,-0.3004305375935436,-0.7206997595822019,-0.48788193831835625
Billie Eilish,729,12,60.75,2.753128797276387,1.1450872331253177,0.621533010329891,1.7920417483622244
