song,artist,peak_rank,avg_rank,worst_rank,days_on_chart,avg_popularity,max_popularity,min_popularity,peak_strength,rank_volatility,longevity_score,survival_group,peak_z,longevity_z,performance_segment
"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,3,15.5,38,26,86.76923076923077,91,0,0.9591836734693877,12.130127781684742,1.9496765285927584,Short Stay,1.2169327841656956,0.40750296447344025,Evergreen Hit
(Don't Fear) The Reaper,Blue Öyster Cult,50,50.0,50,1,77.0,77,77,0.0,0.0,0.6931471805599453,Short Stay,-2.0895376698560293,-1.0328792082045912,Low Performer
(There's No Place Like) Home for the Holidays - 1959 Version,Perry Como,45,45.0,45,2,70.0,70,70,0.10204081632653061,0.0,1.0986122886681098,Short Stay,-1.7377854938962713,-0.5680872681863948,Low Performer
16 CARRIAGES,Beyoncé,16,26.0,49,10,64.5,81,47,0.6938775510204082,10.63537075569588,1.539181253452315,Short Stay,0.30237712667032496,-0.06305514641074557,Viral Spike
2 hands,Tate McRae,8,33.57142857142857,45,7,76.57142857142857,80,71,0.8571428571428571,12.286267983093197,1.2191762385895508,Short Stay,0.8651806082059376,-0.4298826457425458,Viral Spike
28,Zach Bryan,10,27.57,50,100,84.87,87,67,0.8163265306122449,12.255079342744777,2.7106910999072054,Long Survivor,0.7244797378220346,1.2798676437271705,Evergreen Hit
3001,J. Cole,32,32.0,32,1,68.0,68,68,0.3673469387755102,0.0,0.6931471805599453,Short Stay,-0.8232298364009005,-1.0328792082045912,Low Performer
360,Charli xcx,19,34.04651162790697,50,43,87.69767441860465,89,85,0.6326530612244898,9.596510993888035,2.5613993920124654,Medium Survivor,0.0913258210944703,1.1087318760533826,Evergreen Hit
3D (feat. Jack Harlow),Jung Kook & Jack Harlow,9,26.333333333333332,50,12,66.25,88,0,0.8367346938775511,18.430870020076902,0.9731426199071028,Short Stay,0.7948301730139863,-0.7119154042964737,Viral Spike
500lbs,Lil Tecca,12,24.827956989247312,50,186,83.39247311827957,88,30,0.7755102040816326,10.007698286456016,3.468346742759778,Long Survivor,0.5837788674381312,2.1483819229219137,Evergreen Hit
505,Arctic Monkeys,36,43.76470588235294,50,17,80.17647058823529,84,79,0.2857142857142857,3.7504901640436574,2.5253595049872466,Short Stay,-1.104631577168707,1.0674187058853113,Slow Burner
57,KAROL G & Feid & DFZM,47,47.0,47,1,69.0,69,69,0.061224489795918366,0.0,0.6931471805599453,Short Stay,-1.8784863642801748,-1.0328792082045912,Low Performer
7 Minute Drill,J. Cole,3,16.571428571428573,33,7,78.85714285714286,82,74,0.9591836734693877,11.674147261608203,1.2620359758768014,Short Stay,1.2169327841656956,-0.3807517586599088,Viral Spike
7969 Santa,Drake,9,15.0,23,7,67.14285714285714,82,0,0.8367346938775511,4.864839839775475,1.738813050993398,Short Stay,0.7948301730139863,0.1657863706839565,Evergreen Hit
8am in Charlotte,Drake,13,14.714285714285714,18,7,66.57142857142857,82,0,0.7551020408163265,1.7043362064926935,1.9601065812782104,Short Stay,0.5134284322461796,0.41945912130474516,Evergreen Hit
A Bar Song (Tipsy),Shaboozey,1,10.765486725663717,44,226,85.39380530973452,96,11,1.0,8.68218374897318,3.838996620115792,Long Survivor,1.3576336545495988,2.5732645382660957,Evergreen Hit
A Holly Jolly Christmas,Burl Ives,7,13.64864864864865,49,37,87.72972972972973,91,80,0.8775510204081632,9.589392913863552,2.463039944085893,Medium Survivor,0.9355310433978893,0.9959806732822812,Evergreen Hit
A Night To Remember,beabadoobee & Laufey,32,32.0,32,1,0.0,0,0,0.3673469387755102,0.0,0.6931471805599453,Short Stay,-0.8232298364009005,-1.0328792082045912,Low Performer
ACHO PR,Bad Bunny,28,28.0,28,2,39.0,78,0,0.4489795918367347,0.0,1.0986122886681098,Short Stay,-0.5418280956330942,-0.5680872681863948,Low Performer
ADIVINO,Myke Towers & Bad Bunny,36,40.666666666666664,43,3,85.0,89,77,0.2857142857142857,4.041451884327381,1.1976435934509277,Short Stay,-1.104631577168707,-0.4545659038270717,Low Performer
ALL RED,Playboi Carti,1,18.3,39,20,89.25,91,81,1.0,10.54863423437017,1.963135497631382,Short Stay,1.3576336545495988,0.4229312225528947,Evergreen Hit
ALLIIGATOR TEARS,Beyoncé,22,34.5,48,4,50.0,52,46,0.5714285714285714,12.069244660154448,0.9553742437023314,Short Stay,-0.11972548448138473,-0.7322836132546309,Low Performer
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),Beyoncé,23,37.833333333333336,48,6,81.83333333333333,84,79,0.5510204081632653,13.945927322659076,1.0321422686763388,Short Stay,-0.1900759196733364,-0.6442830466324697,Low Performer
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),Beyoncé & Kendrick Lamar,12,22.25,40,4,72.0,77,65,0.7755102040816326,13.945927322659076,0.8536719431983515,Short Stay,0.5837788674381312,-0.8488667880094565,Viral Spike
AMERIICAN REQUIEM,Beyoncé,6,25.5,50,6,55.5,58,50,0.8979591836734694,15.55313473226539,0.926834498599324,Short Stay,1.005881478589841,-0.7649992359525843,Viral Spike
AMG,Natanael Cano & Peso Pluma & Gabito Ballesteros,20,33.05882352941177,48,34,94.23529411764706,95,94,0.6122448979591837,8.492210964102547,2.538704755195806,Medium Survivor,0.020975385902518618,1.0827166060262277,Evergreen Hit
ANTHEM PART 3,blink-182,40,40.0,40,1,0.0,0,0,0.20408163265306123,0.0,0.6931471805599453,Short Stay,-1.3860333179365134,-1.0328792082045912,Low Performer
