song,is_explicit,album_type,total_tracks,duration_min,best_rank,avg_rank,avg_popularity,hit_score,performance_score,days_on_chart,peak_strength,longevity_score,total_streams,duration_group,rpm_rate,estimated_revenue,predicted_audience_behavior,release_packaging_strategy,longevity_velocity_ratio,trend_arrow
"""Slut!"" (Taylor's Version) (From The Vault)",False,album,21.0,3.00635,3,15.5,86.76923076923077,1.5989672000426505,0.5658833471255907,26,0.9591836734693876,1.9496765285927584,2256,3-4 min,4.2,9.4752,Family & Passive Playlist,Standard Album Structure,0.07221024179973179,Fading / Downward Drift
(Don't Fear) The Reaper,False,album,10.0,5.1353333333333335,50,50.0,77.0,-0.6855425928651666,0.3756529850746268,1,0.0,0.6931471805599453,77,5+ min,4.2,0.3234,High Skip-Risk / Long Session,Standard Album Structure,0.34657359027997264,Fading / Downward Drift
(There's No Place Like) Home for the Holidays - 1959 Version,False,album,10.0,2.93155,45,45.0,70.0,-0.3359665584703455,0.4038059701492538,2,0.1020408163265306,1.0986122886681098,140,2-3 min,4.2,0.5880000000000001,Family & Passive Playlist,Standard Album Structure,0.3662040962227033,Fading / Downward Drift
16 CARRIAGES,False,single,16.6,3.829306666666666,16,26.0,64.5,0.7281177628216826,0.4977186946425275,10,0.6938775510204082,1.539181253452315,645,3-4 min,4.2,2.709,Family & Passive Playlist,Focused Single Release,0.139925568495665,Fading / Downward Drift
2 hands,True,single,2.0,3.0303333333333335,8,33.57142857142857,76.57142857142857,0.8538569415511333,0.4797008793018149,7,0.8571428571428571,1.2191762385895508,536,3-4 min,3.2,1.7152000000000003,General Pop/Standard,Focused Single Release,0.15239702982369385,Fading / Downward Drift
28,False,album,19.0,3.888883333333333,10,27.57,84.87,1.9064124813651162,0.5575385088568103,100,0.8163265306122449,2.710691099907206,8487,3-4 min,4.2,35.6454,Family & Passive Playlist,Standard Album Structure,0.026838525741655503,Fading / Downward Drift
3001,True,album,12.0,2.630883333333333,32,32.0,68.0,-0.2690194594831149,0.4746529850746268,1,0.3673469387755102,0.6931471805599453,68,2-3 min,3.2,0.21760000000000002,Gen-Z Viral Segment,Standard Album Structure,0.34657359027997264,Fading / Downward Drift
360,True,album,15.0,2.2300833333333334,19,34.04651162790697,87.69767441860465,1.5787461982558642,0.48860243418028326,43,0.6326530612244898,2.5613993920124654,3771,2-3 min,3.2,12.0672,Gen-Z Viral Segment,Standard Album Structure,0.05821362254573785,Fading / Downward Drift
3D (feat. Jack Harlow),True,single,5.666666666666667,3.3635333333333333,9,26.333333333333332,66.25,0.5532828266277103,0.4856091867318832,12,0.8367346938775512,0.9731426199071028,795,3-4 min,3.2,2.5440000000000005,General Pop/Standard,Focused Single Release,0.07485712460823868,Fading / Downward Drift
500lbs,True,album,16.0,2.4065,12,24.827956989247312,83.39247311827957,2.356465431911196,0.6268597014543169,186,0.7755102040816326,3.468346742759778,15511,2-3 min,3.2,49.6352,Gen-Z Viral Segment,Standard Album Structure,0.018547308784811648,Fading / Downward Drift
505,False,album,12.0,4.2264333333333335,36,43.76470588235294,80.17647058823529,1.000363298546057,0.4232957184053322,17,0.2857142857142857,2.5253595049872466,1363,4-5 min,4.2,5.724600000000001,General Pop/Standard,Standard Album Structure,0.14029775027706926,Fading / Downward Drift
57,True,single,1.0,4.968833333333333,47,47.0,69.0,-0.6811220706348249,0.3921529850746268,1,0.0612244897959183,0.6931471805599453,69,4-5 min,3.2,0.22080000000000002,General Pop/Standard,Focused Single Release,0.34657359027997264,Fading / Downward Drift
7 Minute Drill,True,album,12.0,3.5368833333333334,3,16.571428571428573,78.85714285714286,1.0468934870417617,0.5512619969830855,7,0.9591836734693876,1.2620359758768014,552,3-4 min,3.2,1.7664000000000002,General Pop/Standard,Standard Album Structure,0.15775449698460017,Fading / Downward Drift
7969 Santa,True,album,23.0,4.330766666666666,9,15.0,67.14285714285714,1.0888324630445398,0.5676901277124274,7,0.8367346938775511,1.738813050993398,470,4-5 min,3.2,1.504,General Pop/Standard,Bloated Album (Stream-Optimized),0.21735163137417474,Fading / Downward Drift
8am in Charlotte,True,album,23.0,4.44745,13,14.714285714285714,66.57142857142857,1.1227611313956047,0.5713320970031845,7,0.7551020408163265,1.9601065812782104,466,4-5 min,3.2,1.4912,General Pop/Standard,Bloated Album (Stream-Optimized),0.2450133226597763,Fading / Downward Drift
A Bar Song (Tipsy),True,single,9.61504424778761,2.85485,1,10.765486725663717,85.39380530973452,2.9409502378768426,0.7286609899715315,226,1.0,3.838996620115792,19299,2-3 min,3.2,61.7568,Gen-Z Viral Segment,Focused Single Release,0.01691187938377001,Fading / Downward Drift
A Holly Jolly Christmas,False,album,12.0,2.2588833333333334,7,13.64864864864865,87.72972972972973,1.849098118625822,0.5801010119820896,37,0.8775510204081632,2.463039944085893,3246,2-3 min,4.2,13.6332,Family & Passive Playlist,Standard Album Structure,0.0648168406338393,Fading / Downward Drift
A Night To Remember,False,single,1.0,3.8898,32,32.0,0.0,-0.949019459483115,0.4746529850746268,1,0.3673469387755102,0.6931471805599453,0,3-4 min,4.2,0.0,Family & Passive Playlist,Focused Single Release,0.34657359027997264,Fading / Downward Drift
ACHO PR,True,album,22.0,5.994116666666667,28,28.0,39.0,-0.1675835991650746,0.4973059701492537,2,0.4489795918367347,1.0986122886681098,78,5+ min,3.2,0.24960000000000002,High Skip-Risk / Long Session,Bloated Album (Stream-Optimized),0.3662040962227033,Fading / Downward Drift
