song,days_on_chart,avg_rank,best_rank,worst_rank,rank_volatility,avg_popularity,duration_min,days_norm,rank_norm,volatility_norm,best_rank_norm,performance_score
Something in the Orange,536,26.292910447761194,9,49,9.347598328133005,88.37126865671642,3.8002166666666666,1.0,0.7370708955223881,0.6852499921128151,0.91,0.8584998126441173
I Remember Everything (feat. Kacey Musgraves),446,13.90134529147982,1,49,9.89082643788304,90.08520179372198,3.786583333333333,0.832089552238806,0.8609865470852018,0.6669585502016055,0.99,0.8572724897835632
Last Night,492,22.61178861788618,1,50,14.554543220677138,85.67682926829268,2.7309,0.917910447761194,0.7738821138211383,0.5099230376945953,0.99,0.8411197003232758
Stick Season,414,18.28985507246377,1,50,11.360610915190891,91.09661835748793,3.0391,0.7723880597014925,0.8171014492753623,0.6174683325450767,0.99,0.8160681613964067
Cruel Summer,388,16.917525773195877,1,50,13.6252312712745,97.00773195876289,2.973766666666667,0.7238805970149254,0.8308247422680413,0.5412145987069903,0.99,0.7962683286197373
See You Again (feat. Kali Uchis),444,29.382882882882882,4,50,11.80665438779139,91.08558558558559,3.0064333333333333,0.8283582089552238,0.7061711711711711,0.6024492675841334,0.96,0.7893302098026516
Beautiful Things,307,14.700325732899023,1,49,8.940330513883309,90.83061889250814,3.0050666666666666,0.5727611940298507,0.8529967426710098,0.6989634127421,0.99,0.7669116191195111
Espresso,226,7.946902654867257,1,34,6.22516856776975,94.23893805309734,2.9243166666666665,0.4216417910447761,0.9205309734513274,0.7903876710333648,0.99,0.7467992346769726
Lose Control,329,23.49544072948328,5,50,8.652900817894057,90.91793313069908,3.5114666666666667,0.6138059701492538,0.7650455927051671,0.7086416740348804,0.95,0.7434622144025353
BIRDS OF A FEATHER,191,5.2565445026178015,2,20,3.1224394304282823,97.15706806282722,3.5062166666666665,0.35634328358208955,0.947434554973822,0.8948619954714239,0.98,0.7418084430417115
"Good Luck, Babe!",232,9.974137931034482,1,49,8.571533685975364,92.625,3.6403833333333333,0.43283582089552236,0.9002586206896552,0.7113814478798999,0.99,0.7357211993428021
A Bar Song (Tipsy),226,10.765486725663717,1,44,8.68218374897318,85.39380530973452,2.85485,0.4216417910447761,0.8923451327433628,0.7076556664568296,0.99,0.7286609899715316
I Had Some Help (Feat. Morgan Wallen),198,8.722222222222221,1,40,7.2370038329605295,88.45959595959596,2.970083333333333,0.3694029850746269,0.9127777777777778,0.7563174054400272,0.99,0.7223950075423444
greedy,217,14.110599078341014,3,50,8.566014248319142,96.06451612903226,2.1978666666666666,0.4048507462686567,0.8588940092165899,0.7115672970129975,0.97,0.7074673941211359
fukumean,236,15.055084745762711,1,50,12.463783090577186,93.44915254237289,2.084,0.44029850746268656,0.8494491525423729,0.5803225932102212,0.99,0.7074439403227928
Too Sweet,230,16.465217391304346,1,50,11.679718123941095,83.34782608695652,4.1904,0.4291044776119403,0.8353478260869566,0.6067234339149443,0.99,0.7012306496861083
Not Like Us,201,11.99502487562189,1,47,12.712787858073385,93.48258706467662,4.569866666666667,0.375,0.880049751243781,0.5719381665604907,0.99,0.6944612295913724
Please Please Please,170,9.905882352941177,1,43,9.685129856698198,92.17647058823529,3.1060833333333333,0.31716417910447764,0.9009411764705882,0.6738847143645909,0.99,0.691725345887732
Die With A Smile,103,3.466019417475728,1,16,3.6348410272991187,96.80582524271844,4.19445,0.1921641791044776,0.9653398058252427,0.8776085362410341,0.99,0.6908872483495057
vampire,258,22.337209302325583,1,50,14.69980581553335,94.68992248062015,3.6620666666666666,0.48134328358208955,0.7766279069767441,0.50503179170052,0.99,0.6887930958656437
MILLION DOLLAR BABY,206,14.946601941747574,1,47,12.322577458719524,90.0873786407767,2.58585,0.3843283582089552,0.8505339805825243,0.5850772341544253,0.99,0.6887095419924603
Who,129,7.658914728682171,1,28,5.1348930795085215,92.7984496124031,2.848116666666667,0.24067164179104478,0.9234108527131784,0.8270991563243644,0.99,0.6881387887089145
My Love Mine All Mine,224,16.566964285714285,2,50,14.09433234303875,95.04017857142857,2.2962166666666666,0.417910447761194,0.8343303571428572,0.5254191439971627,0.98,0.686826196116134
Kill Bill,247,22.91497975708502,4,50,12.162386134444523,92.25910931174089,2.5657666666666668,0.4608208955223881,0.7708502024291498,0.5904711566154779,0.96,0.682131999944586
Taste,96,4.625,1,26,5.4911411909499614,93.26041666666667,2.6213166666666665,0.1791044776119403,0.95375,0.8151036584488813,0.99,0.6760094330090671
You Proof,302,32.59933774834437,9,50,12.026068012959367,84.66225165562913,2.624616666666667,0.5634328358208955,0.6740066225165563,0.5950612265250381,0.91,0.6746099330706119
Lovin On Me,157,10.751592356687897,1,47,12.482118518286734,94.96815286624204,2.30685,0.292910447761194,0.892484076433121,0.5797052072450128,0.99,0.6708586041925115
Paint The Town Red,197,16.238578680203045,1,49,14.631142840758752,87.96954314720813,3.8465981387478854,0.3675373134328358,0.8376142131979696,0.5073437943233561,0.99,0.6705374137531175
I KNOW ?,221,22.981900452488688,3,50,11.11099529168577,91.35746606334841,3.5263666666666666,0.4123134328358209,0.7701809954751131,0.6258733277865329,0.97,0.6704603826874801
Snooze,282,30.45035460992908,9,50,12.31695948588803,91.87943262411348,3.3633333333333333,0.5261194029850746,0.6954964539007091,0.5852664011394573,0.91,0.66809219002397
Thinkin’ Bout Me,324,39.01851851851852,21,50,7.1429215191948865,85.99074074074075,2.95645,0.6044776119402985,0.6098148148148148,0.7594853217282848,0.79,0.6589508815371181
HOT TO GO!,172,16.686046511627907,7,50,9.959874618045184,88.80813953488372,3.080683333333333,0.3208955223880597,0.833139534883721,0.6646335770386893,0.9299999999999999,0.656375627748992
Fast Car,184,20.820652173913043,3,49,13.051198366713981,90.23913043478261,4.424883333333334,0.34328358208955223,0.7917934782608695,0.5605432920136071,0.97,0.6473313003240082
squabble up,4,1.0,1,1,0.0,71.25,2.6332,0.007462686567164179,0.99,1.0,0.99,0.6471119402985074
MELTDOWN,3,1.0,1,1,0.0,57.0,4.102216666666667,0.005597014925373134,0.99,1.0,0.99,0.6464589552238805
No Role Modelz,272,34.51470588235294,19,50,7.474912821190176,90.53676470588235,4.879983333333334,0.5074626865671642,0.6548529411764705,0.7483065931122933,0.81,0.6436411290215015
FE!N (feat. Playboi Carti),232,31.57758620689655,2,50,13.33786775411656,91.85775862068965,3.195,0.43283582089552236,0.6842241379310345,0.5508906316426092,0.98,0.6420600487535557
