iter	Passed	Remaining
0	12	1900
1	23	1718
2	32	1610
3	43	1584
4	53	1545
5	63	1523
6	73	1499
7	85	1523
8	96	1505
9	106	1489
10	116	1475
11	126	1460
12	137	1445
13	148	1443
14	159	1437
15	169	1423
16	180	1411
17	193	1417
18	204	1409
19	214	1397
20	224	1381
21	235	1367
22	245	1356
23	255	1342
24	266	1331
25	276	1317
26	286	1303
27	296	1290
28	307	1284
29	318	1272
30	328	1259
31	338	1247
32	349	1237
33	359	1226
34	369	1213
35	378	1200
36	389	1188
37	399	1178
38	409	1164
39	419	1152
40	429	1141
41	440	1132
42	450	1121
43	460	1109
44	471	1100
45	481	1089
46	491	1077
47	501	1066
48	511	1054
49	521	1043
50	532	1033
51	542	1023
52	552	1011
53	562	1000
54	573	990
55	583	978
56	592	966
57	602	956
58	612	945
59	623	934
60	633	923
61	643	913
62	652	900
63	662	890
64	672	879
65	683	869
66	694	859
67	704	849
68	715	840
69	725	829
70	735	818
71	745	807
72	754	796
73	765	785
74	775	775
75	785	764
76	794	753
77	804	742
78	815	732
79	825	722
80	835	711
81	845	701
82	857	691
83	867	681
84	878	671
85	889	662
86	900	652
87	911	642
88	922	632
89	933	622
90	943	611
91	953	600
92	968	593
93	983	586
94	994	575
95	1004	564
96	1013	553
97	1023	543
98	1033	532
99	1044	522
100	1053	511
101	1064	500
102	1073	489
103	1084	479
104	1095	469
105	1105	458
106	1115	448
107	1125	437
108	1134	426
109	1146	416
110	1156	406
111	1166	395
112	1177	385
113	1190	375
114	1200	365
115	1211	355
116	1221	344
117	1230	333
118	1240	323
119	1250	312
120	1260	302
121	1269	291
122	1280	281
123	1290	270
124	1300	260
125	1309	249
126	1319	239
127	1330	228
128	1340	218
129	1349	207
130	1360	197
131	1370	186
132	1381	176
133	1391	166
134	1400	155
135	1410	145
136	1420	134
137	1430	124
138	1441	114
139	1451	103
140	1460	93
141	1470	82
142	1480	72
143	1490	62
144	1501	51
145	1510	41
146	1520	31
147	1532	20
148	1543	10
149	1554	0
